name        ra       dec 
CGASS11956  2.08654  15.15601
CGASS12025  4.89396  16.20418
CGASS12002  6.2667  14.97091
CGASS11989  6.49538  13.9294
CGASS27167  9.84028  14.46986
CGASS3189  10.09787  14.61375
CGASS3261  13.88588  15.77582
CGASS3318  15.65954  15.16852
CGASS3439  17.27486  14.75578
CGASS3465  18.09092  15.01085
CGASS3645  18.7573  15.4135
CGASS3509  19.29855  13.34094
CGASS3524  19.31707  14.62238
CGASS3519  19.36713  14.70443
CGASS3504  19.59767  13.62457
CGASS3821  25.17783  13.5513
CGASS3819  25.42995  13.67579
CGASS4094  25.86112  13.32028
CGASS4195  27.27541  14.43075
CGASS4137  29.21666  13.21278
CGASS4233  29.28051  14.92878
CGASS4223  29.30404  14.73546
CGASS4239  29.56764  14.29665
CGASS3962  30.99645  14.31038
CGASS4017  31.32309  13.50573
CGASS3880  31.33284  13.25853
CGASS3977  31.93529  14.0816
CGASS4030  32.41449  13.98319
CGASS4038  32.84092  14.50432
CGASS4039  32.881  14.20067
CGASS4040  32.91276  14.14176
CGASS4048  33.08076  13.61269
CGASS4057  33.58021  13.93647
CGASS13775  117.98208  27.30297
CGASS51416  118.99982  12.98147
CGASS56375  119.33214  11.20606
CGASS56319  120.84485  9.96273
CGASS51563  121.17628  15.77574
CGASS56304  121.3921  10.3934
CGASS32308  129.8935  25.47711
CGASS52297  134.35014  20.71053
CGASS16695  135.31519  4.1181
CGASS25752  135.35239  10.20017
CGASS56612  135.78226  13.69707
CGASS25763  135.79688  10.15197
CGASS57017  140.622  14.46205
CGASS20133  143.15244  9.84054
CGASS8347  144.74374  4.16128
CGASS8349  144.97343  3.81395
CGASS18686  148.26093  7.84149
CGASS20292  148.45512  9.19379
CGASS20286  148.66438  9.44464
CGASS4914  149.1394  1.83584
CGASS14831  151.37611  5.67207
CGASS14943  154.00085  6.25145
CGASS26221  154.15997  12.57738
CGASS26368  154.92207  12.84298
CGASS18900  155.00674  8.5149
CGASS26311  155.78993  12.23953
CGASS22999  155.81842  11.85568
CGASS5204  156.96182  2.60946
CGASS23120  158.38593  11.8756
CGASS26602  158.44756  12.73282
CGASS15181  160.01234  6.02058
CGASS15155  160.22997  5.99141
CGASS15166  160.3381  6.27898
CGASS29555  160.43985  13.89803
CGASS23315  160.50311  11.78002
CGASS8914  161.00922  4.66301
CGASS15257  162.02415  6.02067
CGASS34723  162.89203  30.20608
CGASS23441  163.3176  11.6389
CGASS23408  163.34319  11.18067
CGASS23450  164.20244  12.09326
CGASS23453  164.50122  11.98713
CGASS17659  164.53166  9.2761
CGASS17640  164.87479  8.70921
CGASS5442  165.13548  2.11607
CGASS17684  165.1553  10.43721
CGASS29624  165.20973  13.59763
CGASS29699  167.07643  13.22432
CGASS12372  168.2669  5.09616
CGASS12371  168.27669  5.23417
CGASS12318  168.68063  4.02452
CGASS12455  170.07416  4.32036
CGASS12293  170.12183  4.12838
CGASS12460  170.2013  3.83918
CGASS12458  170.3261  3.66474
CGASS29842  170.38234  13.42661
CGASS17865  172.33624  8.60233
CGASS29892  172.44315  15.33364
CGASS18202  182.89561  9.35192
CGASS30175  184.01112  14.18939
CGASS24168  184.05154  13.43762
CGASS24183  184.43379  13.17104
CGASS24741  184.46172  8.43028
CGASS18335  184.72476  10.00282
CGASS18421  185.027  10.07479
CGASS24094  185.12575  11.34094
CGASS30338  185.83159  14.30374
CGASS6375  186.86507  3.30213
CGASS18469  188.21457  8.73998
CGASS12970  188.97415  5.76106
CGASS12966  189.13435  6.1696
CGASS30479  189.28362  14.40748
CGASS28143  189.29752  8.6583
CGASS30471  189.47166  14.28131
CGASS24366  189.91194  12.41888
CGASS12983  190.13528  5.35554
CGASS6506  190.78902  3.58119
CGASS13037  190.81238  4.08389
CGASS28461  191.59448  11.87661
CGASS6565  192.40916  2.75561
CGASS6583  192.73248  3.19703
CGASS26822  192.87112  13.78182
CGASS40494  194.26875  10.62072
CGASS40500  194.7962  10.50168
CGASS30508  194.85928  14.34169
CGASS13227  194.9585  5.04756
CGASS40439  196.06268  9.22346
CGASS25154  196.23924  12.07907
CGASS6749  196.96169  3.19466
CGASS40570  197.7706  8.80787
CGASS25214  198.13673  11.72896
CGASS40781  199.89294  10.45487
CGASS25448  202.51624  12.17519
CGASS25347  202.5798  11.51181
CGASS40024  203.4092  13.23601
CGASS13512  204.05077  4.74009
CGASS13551  206.2746  3.80428
CGASS7031  206.69661  2.12005
CGASS7050  207.29039  2.75321
CGASS13624  207.96838  3.45502
CGASS40317  208.89052  14.76465
CGASS40257  209.67596  13.45636
CGASS40247  209.92757  12.73683
CGASS9301  210.82076  4.36317
CGASS30746  212.2854  6.18023
CGASS7286  213.63354  3.19026
CGASS9384  213.791  4.4779
CGASS38462  213.94145  10.43886
CGASS38472  214.03654  10.59552
CGASS38591  214.41882  10.58333
CGASS41323  214.59361  8.0975
CGASS30811  214.69038  5.83466
CGASS9507  215.13684  5.11065
CGASS9514  215.5405  4.52114
CGASS9463  216.27293  3.23315
CGASS7457  216.80743  2.84683
CGASS7493  216.83388  2.83838
CGASS9619  217.13878  3.262
CGASS9607  217.6819  3.19704
CGASS7561  218.39867  2.63871
CGASS9814  218.45142  3.95687
CGASS9601  218.4643  3.67948
CGASS9917  220.1083  3.59891
CGASS9704  220.24709  3.13709
CGASS38758  221.93129  9.53817
CGASS38748  222.24738  9.50477
CGASS10019  222.97246  3.36327
CGASS41783  224.37889  8.39066
CGASS38964  225.56815  11.91758
CGASS39119  227.35878  10.28844
CGASS10218  227.91817  3.67617
CGASS39270  228.08595  9.34993
CGASS42025  228.78146  7.02125
CGASS42020  228.8186  6.65515
CGASS41969  228.88145  6.37038
CGASS42140  228.88321  7.47475
CGASS10367  228.9744  3.05031
CGASS42141  229.07976  7.16234
CGASS10358  229.29646  3.3516
CGASS10404  229.34567  4.21359
CGASS41974  229.49294  6.74595
CGASS42174  229.57166  7.13251
CGASS10447  229.67056  4.41816
CGASS42167  229.7236  7.57592
CGASS39465  230.1196  8.28517
CGASS39548  231.3438  9.7312
CGASS39605  231.49934  9.79016
CGASS39607  231.7762  9.79621
CGASS39595  231.81969  10.04452
CGASS39606  231.81975  9.76774
CGASS39567  231.94762  9.62491
CGASS26958  236.7264  5.89121
CGASS47221  237.26115  17.94044
CGASS42402  237.85509  25.76084
CGASS31156  239.46674  4.26231
CGASS29487  239.47736  9.40994
CGASS10817  330.33722  12.1967
CGASS10827  330.44748  13.20792
CGASS10831  330.84415  12.64934
CGASS10813  330.99182  11.90592
CGASS10836  331.0809  12.96839
CGASS10850  331.41165  12.4226
CGASS10841  332.7987  11.80073
CGASS10885  333.05203  12.20519
CGASS10889  333.15033  14.01777
CGASS10844  333.22122  12.36632
CGASS10872  333.3396  13.43648
CGASS10884  333.62762  13.07915
CGASS10942  333.87616  13.67317
CGASS10943  333.91913  13.60471
CGASS10944  333.93195  13.71454
CGASS10950  333.99796  13.45427
CGASS10949  334.00214  13.14773
CGASS10948  334.15372  13.25401
CGASS10952  334.2415  13.54307
CGASS11016  339.0828  14.31453
CGASS11015  339.2566  14.40484
CGASS11086  343.85175  13.24828
CGASS11087  343.8582  12.9276
CGASS11071  344.36124  13.00165
CGASS11126  345.29617  13.15904
CGASS11120  345.92944  13.92654
CGASS11223  346.5685  13.98231
CGASS11311  348.12177  13.94226
CGASS11298  348.37665  14.06391
CGASS11295  348.39465  13.98678
CGASS11270  349.57065  13.57406
CGASS11349  349.6509  15.29966
CGASS11437  350.56406  14.08073
CGASS11408  350.61417  13.81586
CGASS11514  350.86057  15.41956
CGASS11808  358.2388  15.71246
CGASS11845  359.18533  13.90986
CGASS11824  359.4482  15.61368
CGASS3505  19.44485  13.32348
CGASS4216  28.96662  14.94026
CGASS29596  161.76176  14.26335
CGASS23685  170.79846  13.11772
CGASS24149  183.48438  13.67646
CGASS24426  189.09468  13.60287
CGASS28168  190.22902  8.05645
CGASS35981  208.28484  35.71403
CGASS9483  215.23561  3.87152
CGASS9551  216.8849  4.82163
CGASS9948  221.06145  4.21854
CGASS38717  222.3722  9.07921
CGASS42013  229.01863  6.84763
CGASS11112  345.66794  13.32907
CGASS1977  349.56528  0.26118
CGASS11513  350.66452  15.73483
CGASS11386  351.5471  14.03003
CGASS4054  33.40625  13.72813
CGASS23194  158.3893  11.87138
CGASS11019  339.54413  14.44059
CGASS11340  348.31863  14.90436
CGASS11994  6.49573  14.34799
CGASS4230  29.29084  14.54988
CGASS4037  32.87822  14.30053
CGASS4045  32.88983  13.91716
CGASS4041  32.90393  14.51257
CGASS3981  33.51833  13.19898
CGASS3985  33.55051  13.4369
CGASS51276  118.5187  13.95411
CGASS51336  119.07128  14.60269
CGASS56320  120.92614  10.03327
CGASS51580  121.01604  15.08846
CGASS56312  121.23475  10.43918
CGASS26650  122.26162  6.62621
CGASS19918  129.69577  7.48071
CGASS56486  131.36922  14.57379
CGASS56509  132.68866  11.81083
CGASS19989  133.6068  8.21139
CGASS19949  135.0461  7.7261
CGASS56662  135.72888  13.6607
CGASS56650  135.78418  13.51777
CGASS56632  136.15446  13.55411
CGASS16655  136.16478  5.51205
CGASS20041  138.61545  8.07943
