name       ra       dec 
GASS11834  0.19954  14.27755
GASS11892  0.50344  15.02561
GASS11825  0.54247  14.1362
GASS11903  1.24471  15.67174
GASS124028  1.50998  14.41746
GASS124009  1.58171  14.32743
GASS124012  1.62208  14.18237
GASS11910  1.63573  15.66799
GASS11917  1.92773  15.18689
GASS11956  2.08654  15.15601
GASS12030  4.67786  15.19517
GASS12025  4.89396  16.20418
GASS124006  4.94721  0.59079
GASS12044  5.13605  15.34736
GASS124007  5.81194  14.80954
GASS124000  5.93277  14.30672
GASS124010  5.99747  15.77045
GASS12005  6.08636  14.77566
GASS124001  6.17789  14.82459
GASS12002  6.2667  14.97091
GASS124004  6.39337  0.84685
GASS124025  6.40208  14.11529
GASS12062  6.48359  15.63752
GASS11989  6.49538  13.9294
GASS11994  6.49573  14.34799
GASS3163  7.19513  15.0915
GASS124003  7.40992  0.41037
GASS3157  7.63725  14.94319
GASS3151  7.92941  14.48647
GASS27181  8.20069  14.79394
GASS27167  9.84028  14.46986
GASS3189  10.09787  14.61375
GASS27219  10.35548  13.72639
GASS124016  10.44218  1.17707
GASS27207  11.63148  14.98497
GASS27204  11.89638  14.15513
GASS124002  12.2654  15.48553
GASS3233  12.89187  13.91464
GASS124027  13.11632  14.51829
GASS3258  13.32064  16.09892
GASS3261  13.88588  15.77582
GASS3305  14.29028  14.65185
GASS3301  14.81382  13.57594
GASS3321  15.61839  15.74917
GASS3284  15.72436  14.19455
GASS3398  16.80937  13.95513
GASS3435  17.13363  15.02305
GASS3439  17.27486  14.75578
GASS3465  18.09092  15.01085
GASS3634  18.44848  15.50829
GASS101025  18.65576  1.18149
GASS3645  18.7573  15.4135
GASS101021  19.22327  0.15313
GASS3509  19.29855  13.34094
GASS3524  19.31707  14.62238
GASS3519  19.36713  14.70443
GASS3505  19.44485  13.32348
GASS3666  19.51281  15.54013
GASS3504  19.59767  13.62457
GASS3508  19.75019  14.61199
GASS101028  19.8873  14.87195
GASS101007  20.2889  15.69477
GASS101004  20.37777  14.50498
GASS3773  20.47215  14.89573
GASS3757  20.61655  15.54402
GASS3777  20.82008  14.65901
GASS101034  21.22751  14.21848
GASS27260  21.34867  14.51999
GASS3792  22.17516  14.60924
GASS27250  22.52574  13.28391
GASS27284  23.01915  15.50037
GASS101037  24.40472  0.04017
GASS3851  24.71644  15.04969
GASS3854  24.72818  15.02159
GASS3859  24.7579  14.96905
GASS3821  25.17783  13.5513
GASS3819  25.42995  13.67579
GASS3817  25.85817  13.85468
GASS4094  25.86112  13.32028
GASS4111  26.50747  14.23919
GASS4119  26.62416  13.95267
GASS101031  26.97986  12.69196
GASS101030  27.01502  12.93462
GASS101000  27.22137  13.42395
