#GASS_ID   SDSS_OBJID   RA   DEC   z   SURVEY_ID    RA   DEC   z   GROUP_ID
GASS11834 1237656494576894062  0.20 14.28 0.036 0 0.0 0.0 0.0 0
GASS11892 1237656495650767088  0.50 15.03 0.036 0 0.0 0.0 0.0 0
GASS11825 1237656494577025171  0.54 14.14 0.042 0 0.0 0.0 0.0 0
GASS11903 1237652944249553236  1.24 15.67 0.037 0 0.0 0.0 0.0 0
GASS124028 1237652942639071352  1.51 14.42 0.018 0 0.0 0.0 0.0 0
GASS124009 1237656494577483828  1.58 14.33 0.018 0 0.0 0.0 0.0 0
GASS124012 1237656494577483851  1.62 14.18 0.018 0 0.0 0.0 0.0 0
GASS11910 1237652944249749727  1.64 15.67 0.037 0 0.0 0.0 0.0 0
GASS11917 1237656495651356886  1.93 15.19 0.045 0 0.0 0.0 0.0 0
GASS11956 1237656495651422354  2.09 15.16 0.040 0 0.0 0.0 0.0 0
GASS12030 1237656495652536487  4.68 15.20 0.037 0 0.0 0.0 0.0 0
GASS12025 1237653653447639236  4.89 16.20 0.037 0 0.0 0.0 0.0 0
GASS124006 1237663277929922594  4.95  0.59 0.018 0 0.0 0.0 0.0 0
GASS124006 1237663277929922594  4.95  0.59 0.018 0 0.0 0.0 0.0 0
GASS12044 1237653652374028305  5.14 15.35 0.040 0 0.0 0.0 0.0 0
GASS124007 1237653651837419694  5.81 14.81 0.018 0 0.0 0.0 0.0 0
GASS124000 1237656494579318872  5.93 14.31 0.018 0 0.0 0.0 0.0 0
GASS124010 1237653652911226937  6.00 15.77 0.018 0 0.0 0.0 0.0 0
GASS12005 1237656495116255330  6.09 14.78 0.031 0 0.0 0.0 0.0 0
GASS124001 1237653651837550662  6.18 14.82 0.018 0 0.0 0.0 0.0 0
GASS12002 1237653651837616142  6.27 14.97 0.037 0 0.0 0.0 0.0 0
GASS124004 1237678434327986256  6.39  0.85 0.018 0 0.0 0.0 0.0 0
GASS124004 1237678434327986256  6.39  0.85 0.018 0 0.0 0.0 0.0 0
GASS124025 1237653650763939962  6.40 14.12 0.018 0 0.0 0.0 0.0 0
GASS12062 1237653652911423584  6.48 15.64 0.037 0 0.0 0.0 0.0 0
GASS11989 1237656494042644696  6.50 13.93 0.042 0 0.0 0.0 0.0 0
GASS11994 1237656494579515561  6.50 14.35 0.037 0 0.0 0.0 0.0 0
GASS3163 1237656495653585132  7.20 15.09 0.042 0 0.0 0.0 0.0 0
GASS124003 1237657191445299439  7.41  0.41 0.014 0 0.0 0.0 0.0 0
GASS3157 1237653651838206003  7.64 14.94 0.038 0 0.0 0.0 0.0 0
GASS3151 1237653651301466128  7.93 14.49 0.038 0 0.0 0.0 0.0 0
GASS27181 1237653651838402681  8.20 14.79 0.042 0 0.0 0.0 0.0 0
GASS27181 1237653651838402681  8.20 14.79 0.042 0 0.0 0.0 0.0 0
GASS27181 1237653651838402681  8.20 14.79 0.042 0 0.0 0.0 0.0 0
GASS27167 1237653651302252632  9.84 14.47 0.038 0 0.0 0.0 0.0 0
GASS27167 1237653651302252632  9.84 14.47 0.038 0 0.0 0.0 0.0 0
GASS3189 1237649919500550210 10.10 14.61 0.038 0 0.0 0.0 0.0 0
GASS3189 1237649919500550210 10.10 14.61 0.038 0 0.0 0.0 0.0 0
GASS3189 1237649919500550210 10.10 14.61 0.038 0 0.0 0.0 0.0 0
GASS3189 1237649919500550210 10.10 14.61 0.038 0 0.0 0.0 0.0 0
GASS3189 1237649919500550210 10.10 14.61 0.038 0 0.0 0.0 0.0 0
GASS27219 1237649918426874042 10.36 13.73 0.033 0 0.0 0.0 0.0 0
GASS27219 1237649918426874042 10.36 13.73 0.033 0 0.0 0.0 0.0 0
GASS27219 1237649918426874042 10.36 13.73 0.033 0 0.0 0.0 0.0 0
GASS124016 1237666340796891301 10.44  1.18 0.018 0 0.0 0.0 0.0 0
GASS124016 1237666340796891301 10.44  1.18 0.018 0 0.0 0.0 0.0 0
GASS27207 1237649920038011069 11.63 14.98 0.039 0 0.0 0.0 0.0 0
GASS27207 1237649920038011069 11.63 14.98 0.039 0 0.0 0.0 0.0 0
GASS27207 1237649920038011069 11.63 14.98 0.039 0 0.0 0.0 0.0 0
GASS27204 1237649918964400160 11.90 14.16 0.039 0 0.0 0.0 0.0 0
GASS27204 1237649918964400160 11.90 14.16 0.039 0 0.0 0.0 0.0 0
GASS27204 1237649918964400160 11.90 14.16 0.039 0 0.0 0.0 0.0 0
GASS124002 1237649920575144013 12.27 15.49 0.018 0 0.0 0.0 0.0 0
GASS3233 1237653650766692372 12.89 13.91 0.039 0 0.0 0.0 0.0 0
GASS124027 1237649919501795401 13.12 14.52 0.018 0 0.0 0.0 0.0 0
GASS3258 1237679167154290884 13.32 16.10 0.039 0 0.0 0.0 0.0 0
GASS3261 1237649921112735765 13.89 15.78 0.037 0 0.0 0.0 0.0 0
GASS3305 1237653651841024145 14.29 14.65 0.049 0 0.0 0.0 0.0 0
GASS3301 1237649918428774596 14.81 13.58 0.040 0 0.0 0.0 0.0 0
GASS3321 1237649921113456791 15.62 15.75 0.040 0 0.0 0.0 0.0 0
GASS3284 1237653651304743124 15.72 14.19 0.040 0 0.0 0.0 0.0 0
GASS3398 1237666091124981795 16.81 13.96 0.038 0 0.0 0.0 0.0 0
GASS3398 1237666091124981795 16.81 13.96 0.038 0 0.0 0.0 0.0 0
GASS3435 1237666091125440639 17.13 15.02 0.041 0 0.0 0.0 0.0 0
GASS3435 1237666091125440639 17.13 15.02 0.041 0 0.0 0.0 0.0 0
GASS3439 1237666215680671882 17.27 14.76 0.039 0 0.0 0.0 0.0 0
GASS3439 1237666215680671882 17.27 14.76 0.039 0 0.0 0.0 0.0 0
GASS3465 1237666214607061205 18.09 15.01 0.029 0 0.0 0.0 0.0 0
