#M_vir  M_star  M_HI   M_H2   SFR
2.16e+13 2.98e+11 2.80e+09 1.40e+09 1.19e+01
4.27e+12 9.48e+10 1.95e+09 8.34e+08 6.10e+00
5.96e+12 6.04e+10 0.00e+00 0.00e+00 0.00e+00
3.12e+12 5.01e+10 5.87e+08 3.47e+08 1.88e+00
1.26e+12 3.43e+10 2.04e+09 4.78e+09 5.64e+00
1.86e+13 4.14e+10 2.28e+07 2.88e+06 0.00e+00
2.95e+12 3.61e+10 1.02e+07 2.66e+07 4.10e-02
1.18e+12 3.03e+10 2.43e+09 3.75e+09 3.84e-01
1.65e+12 3.06e+10 1.89e+07 1.15e+08 7.71e-02
1.71e+12 2.88e+10 6.67e+07 5.56e+08 2.53e-01
2.36e+12 2.92e+10 2.28e+07 1.72e+08 8.15e-02
1.29e+12 2.27e+10 1.48e+09 2.84e+09 9.47e-01
3.67e+12 2.62e+10 3.09e+07 7.76e+07 1.72e-01
1.51e+12 2.53e+10 4.80e+08 1.51e+09 1.04e+00
1.26e+12 2.14e+10 2.63e+09 3.20e+09 5.24e-01
7.30e+11 1.94e+10 1.28e+09 1.79e+09 9.83e-01
6.50e+11 1.62e+10 1.66e+09 3.05e+09 3.49e+00
6.55e+11 1.29e+10 1.86e+09 2.54e+09 1.90e+00
3.94e+11 1.62e+10 7.50e+08 1.23e+09 6.78e-01
5.38e+11 1.14e+10 2.81e+09 2.29e+09 9.93e-01
9.68e+11 1.59e+10 4.39e+08 2.99e+08 5.39e-01
3.71e+11 1.58e+10 3.60e+08 2.89e+08 9.66e-01
2.78e+12 1.58e+10 0.00e+00 0.00e+00 0.00e+00
5.10e+11 9.11e+09 1.83e+09 1.92e+09 1.13e+00
7.87e+11 1.35e+10 5.72e+08 4.38e+08 4.00e-01
3.56e+11 9.27e+09 1.83e+09 1.50e+09 4.49e-01
2.76e+11 1.23e+10 6.14e+06 3.27e+07 4.80e-02
4.87e+11 7.15e+09 2.62e+09 2.01e+09 8.83e-01
5.97e+11 8.89e+09 9.81e+08 5.93e+08 9.33e-01
7.59e+11 4.34e+09 3.82e+09 2.06e+09 1.47e+00
4.29e+11 6.25e+09 1.17e+09 1.49e+09 8.47e-01
1.82e+12 9.79e+09 0.00e+00 0.00e+00 0.00e+00
2.97e+11 3.86e+09 2.32e+09 1.17e+09 2.68e-01
3.50e+11 5.74e+09 1.80e+09 4.60e+08 1.11e+00
2.31e+11 4.42e+09 1.31e+09 1.28e+09 8.32e-01
6.25e+11 4.47e+09 2.76e+09 1.95e+09 4.13e-01
1.86e+11 4.02e+09 9.29e+08 8.25e+08 2.33e-01
2.11e+11 2.27e+09 1.71e+09 1.08e+09 4.52e-01
2.25e+11 4.13e+09 1.71e+09 4.38e+08 7.21e-01
2.03e+11 2.43e+09 1.50e+09 8.64e+08 2.31e-01
2.36e+11 3.48e+09 1.08e+09 6.83e+08 3.04e-01
2.01e+12 6.01e+09 3.52e+06 6.95e+07 1.00e+00
2.00e+11 4.74e+09 2.92e+08 1.83e+08 4.36e-01
1.46e+11 3.94e+09 2.65e+08 3.86e+08 1.42e-01
2.25e+11 3.05e+09 7.74e+08 6.85e+08 2.37e-01
1.49e+11 2.99e+09 5.31e+08 3.90e+08 1.30e-01
1.75e+11 3.33e+09 3.29e+08 3.73e+08 1.64e-01
1.68e+11 3.83e+09 2.04e+08 1.97e+08 4.59e-01
1.78e+11 2.64e+09 7.11e+08 3.67e+08 5.32e-01
1.79e+11 2.74e+09 8.00e+08 4.37e+08 8.88e-01
1.87e+11 3.43e+09 2.21e+08 2.34e+08 4.25e-01
1.49e+11 3.36e+09 2.64e+08 2.11e+08 3.41e-01
1.07e+11 3.39e+09 1.05e+08 1.99e+08 6.32e-02
1.92e+11 2.18e+09 4.61e+08 5.63e+08 2.23e-01
2.28e+11 1.46e+09 1.36e+09 5.65e+08 8.81e-01
1.45e+11 2.97e+09 2.70e+08 2.82e+08 1.67e-01
1.23e+11 3.09e+09 2.24e+08 2.05e+08 2.99e-01
2.48e+11 1.14e+09 1.19e+09 4.99e+08 1.82e-01
