#M_vir  M_star  M_HI   M_H2   SFR
1.15e+14 1.23e+12 2.71e+06 0.00e+00 0.00e+00
5.95e+13 7.82e+11 4.14e+08 0.00e+00 1.00e+00
1.60e+14 7.47e+11 1.12e+10 7.94e+09 3.41e+01
5.72e+13 5.35e+11 1.88e+08 5.59e+08 4.69e-01
6.06e+13 5.06e+11 1.22e+09 1.78e+08 0.00e+00
6.78e+14 4.96e+11 3.82e+09 4.08e+09 1.49e+01
1.07e+14 4.80e+11 0.00e+00 0.00e+00 0.00e+00
4.33e+13 4.60e+11 3.70e+09 5.31e+09 2.17e+01
9.90e+13 4.42e+11 1.72e+06 0.00e+00 0.00e+00
4.42e+13 4.40e+11 2.91e+09 0.00e+00 0.00e+00
9.01e+12 4.32e+11 3.40e+09 6.17e+09 2.22e+01
1.49e+13 4.10e+11 5.74e+09 4.77e+09 1.49e+01
7.50e+13 4.11e+11 2.76e+08 5.46e+07 0.00e+00
1.90e+13 3.79e+11 3.74e+09 1.24e+09 2.24e+00
1.08e+13 3.74e+11 3.53e+09 3.50e+09 1.15e+01
4.95e+13 3.55e+11 2.31e+08 1.89e+08 0.00e+00
4.99e+12 2.97e+11 1.76e+09 4.80e+09 1.49e+01
8.68e+12 2.98e+11 1.20e+09 1.69e+09 2.38e+00
9.79e+13 2.93e+11 5.30e+08 2.31e+08 0.00e+00
8.78e+12 2.81e+11 3.13e+09 4.94e+09 1.59e+01
9.06e+12 2.77e+11 3.76e+09 4.84e+09 1.36e+01
1.89e+13 2.80e+11 0.00e+00 0.00e+00 0.00e+00
1.03e+13 2.71e+11 1.76e+09 1.48e+09 3.11e+00
2.55e+13 2.65e+11 3.99e+08 3.18e+08 0.00e+00
3.70e+13 2.62e+11 1.53e+09 1.48e+08 0.00e+00
1.14e+13 2.53e+11 1.09e+09 6.28e+08 6.40e-01
6.00e+13 2.53e+11 3.45e+08 1.46e+08 0.00e+00
1.37e+13 2.46e+11 0.00e+00 0.00e+00 0.00e+00
4.55e+13 2.43e+11 3.39e+08 0.00e+00 0.00e+00
2.96e+13 2.35e+11 3.12e+08 7.46e+08 1.32e+00
1.60e+13 2.32e+11 6.86e+08 5.33e+08 4.43e-01
9.23e+12 2.24e+11 1.33e+09 1.16e+09 2.65e+00
2.88e+13 2.23e+11 1.03e+09 6.39e+07 0.00e+00
7.90e+12 2.17e+11 1.70e+09 2.57e+09 5.95e+00
5.02e+13 2.16e+11 0.00e+00 0.00e+00 0.00e+00
2.93e+12 2.05e+11 3.28e+08 2.48e+09 5.48e+00
9.18e+12 1.98e+11 3.17e+09 5.59e+09 1.29e+01
5.77e+12 1.90e+11 2.60e+09 4.40e+09 1.15e+01
7.53e+12 1.91e+11 8.54e+08 2.20e+09 3.65e+00
2.17e+13 1.89e+11 3.36e+08 2.60e+08 0.00e+00
6.60e+12 1.83e+11 1.96e+09 2.13e+09 4.22e+00
6.07e+12 1.81e+11 2.25e+09 3.03e+09 6.86e+00
7.10e+12 1.80e+11 1.36e+09 2.36e+09 3.69e+00
6.07e+12 1.78e+11 2.10e+09 2.90e+09 8.08e+00
1.00e+13 1.77e+11 9.95e+08 6.67e+08 3.37e-01
7.22e+12 1.73e+11 6.02e+08 1.40e+09 1.73e+00
1.93e+14 1.73e+11 0.00e+00 0.00e+00 0.00e+00
2.88e+13 1.71e+11 0.00e+00 0.00e+00 0.00e+00
2.87e+13 1.69e+11 0.00e+00 0.00e+00 0.00e+00
6.58e+12 1.67e+11 3.13e+08 7.18e+08 9.11e-01
1.19e+13 1.65e+11 8.88e+08 1.83e+07 0.00e+00
1.01e+13 1.62e+11 2.91e+09 1.62e+09 2.25e+00
7.83e+12 1.62e+11 6.97e+07 5.58e+08 3.86e-01
5.80e+13 1.58e+11 8.22e+08 3.38e+09 4.13e+00
4.17e+13 1.61e+11 2.74e+08 1.54e+08 0.00e+00
7.75e+12 1.58e+11 6.95e+07 4.74e+08 3.97e-01
1.01e+13 1.53e+11 1.12e+09 1.18e+08 0.00e+00
1.59e+13 1.53e+11 1.45e+08 4.69e+07 0.00e+00
9.95e+13 1.47e+11 0.00e+00 0.00e+00 0.00e+00
5.22e+12 1.45e+11 5.94e+08 9.96e+08 1.24e+00
2.06e+12 1.42e+11 5.89e+08 2.34e+09 3.31e+00
1.62e+14 1.43e+11 0.00e+00 0.00e+00 0.00e+00
9.31e+12 1.40e+11 4.63e+08 6.57e+08 5.64e-01
7.09e+13 1.39e+11 0.00e+00 0.00e+00 0.00e+00
3.07e+12 1.35e+11 1.07e+09 2.61e+09 5.42e+00
7.51e+12 1.36e+11 4.38e+08 6.99e+08 8.51e-01
8.59e+12 1.36e+11 0.00e+00 5.03e+08 2.50e-01
7.99e+12 1.31e+11 1.36e+09 2.12e+09 3.21e+00
7.40e+13 1.33e+11 0.00e+00 0.00e+00 0.00e+00
5.15e+12 1.30e+11 1.97e+08 2.12e+09 3.10e+00
1.90e+13 1.32e+11 0.00e+00 0.00e+00 0.00e+00
6.82e+13 1.31e+11 0.00e+00 0.00e+00 0.00e+00
3.72e+12 1.25e+11 1.46e+09 2.78e+09 4.85e+00
1.55e+13 1.25e+11 0.00e+00 0.00e+00 0.00e+00
6.21e+12 1.20e+11 1.32e+09 2.52e+09 5.21e+00
1.53e+12 1.21e+11 7.63e+07 1.22e+09 1.39e+00
3.19e+12 1.20e+11 1.27e+09 2.01e+09 2.31e+00
6.02e+12 1.20e+11 4.15e+08 1.85e+09 2.61e+00
9.36e+12 1.19e+11 4.06e+08 1.84e+09 1.87e+00
7.41e+12 1.20e+11 0.00e+00 0.00e+00 0.00e+00
5.18e+12 1.17e+11 1.21e+08 1.32e+09 1.54e+00
1.99e+12 1.16e+11 7.75e+07 1.84e+09 1.28e+00
1.50e+12 1.16e+11 1.30e+08 1.55e+09 1.77e+00
4.34e+12 1.16e+11 9.78e+08 9.58e+08 1.82e-01
1.35e+12 1.12e+11 1.17e+08 8.94e+08 1.41e+00
6.05e+12 1.07e+11 1.01e+09 3.55e+09 3.98e+00
4.02e+12 1.10e+11 0.00e+00 4.97e+08 3.22e-01
9.33e+12 1.09e+11 6.59e+08 5.04e+08 4.98e-01
3.54e+12 1.08e+11 5.23e+08 9.09e+08 6.79e-01
2.18e+13 1.09e+11 0.00e+00 0.00e+00 0.00e+00
4.79e+12 1.08e+11 9.52e+08 8.51e+08 4.11e-01
1.58e+12 1.04e+11 3.21e+08 2.21e+09 2.48e+00
1.90e+13 1.07e+11 0.00e+00 0.00e+00 0.00e+00
1.84e+12 1.05e+11 1.38e+08 1.57e+09 1.64e+00
3.33e+13 1.07e+11 0.00e+00 0.00e+00 0.00e+00
2.35e+12 1.04e+11 7.08e+08 1.86e+09 2.06e+00
3.51e+12 1.03e+11 2.71e+08 2.44e+09 3.42e+00
1.34e+13 1.06e+11 3.02e+08 0.00e+00 0.00e+00
2.88e+12 1.06e+11 0.00e+00 5.37e+08 3.50e-01
2.38e+12 1.04e+11 3.35e+08 1.58e+09 2.85e+00
3.50e+12 1.04e+11 4.92e+08 1.59e+09 2.17e+00
5.73e+12 1.03e+11 1.25e+09 1.46e+09 1.53e+00
1.25e+13 1.04e+11 0.00e+00 0.00e+00 0.00e+00
3.20e+12 1.00e+11 1.24e+09 2.68e+09 3.54e+00
3.75e+12 1.03e+11 3.63e+07 8.94e+08 4.21e-01
1.12e+13 1.03e+11 0.00e+00 0.00e+00 0.00e+00
